date,status,episode,summary,sectors,tickers,signal,risk
2026-05-01,無新集數,,5月追蹤起點；尚無5月新公開集數可歸檔。,,,等待下一集或社群新訊號。,
2026-05-02,有新集數,EP658,AI取代論被校正；軟體股要用產品力與抗AI程度分層。,美股軟體/AI應用/雲端/資安,Cloudflare/CrowdStrike/Palantir/Atlassian/Adobe/Salesforce/Google/Microsoft,硬體題材跑完後觀察資金回流軟體。,不要把AI完成單一任務推論成整家公司或職位被取代。
2026-05-03,無新集數,EP658延續,無新集數；延續追蹤前一集主題。,美股軟體/AI應用/雲端/資安,Cloudflare/CrowdStrike/Palantir/Atlassian/Adobe/Salesforce/Google/Microsoft,追蹤前一觀點是否被新聞與股價驗證。,若當日有社群貼文需另補。
2026-05-04,無新集數,EP658延續,無新集數；延續追蹤前一集主題。,美股軟體/AI應用/雲端/資安,Cloudflare/CrowdStrike/Palantir/Atlassian/Adobe/Salesforce/Google/Microsoft,追蹤前一觀點是否被新聞與股價驗證。,若當日有社群貼文需另補。
2026-05-05,無新集數,EP658延續,無新集數；延續追蹤前一集主題。,美股軟體/AI應用/雲端/資安,Cloudflare/CrowdStrike/Palantir/Atlassian/Adobe/Salesforce/Google/Microsoft,追蹤前一觀點是否被新聞與股價驗證。,若當日有社群貼文需另補。
2026-05-06,有新集數,EP659,被動元件第三波升溫；國巨AI誓師與信昌電交期拉長。,被動元件/CPU-ASIC/AI Server,國巨/信昌電/GUC/世芯-KY/聯發科/AMD,國巨是主線龍頭；第二排被動元件追蹤交期與漲價函。,部分標的預期可能已充分反映；不宜無腦加大部位。
2026-05-07,無新集數,EP659延續,無新集數；延續追蹤前一集主題。,被動元件/CPU-ASIC/AI Server,國巨/信昌電/GUC/世芯-KY/聯發科/AMD,追蹤被動元件交期、漲價函、族群擴散。,若當日有社群貼文需另補。
2026-05-08,無新集數,EP659延續,無新集數；延續追蹤前一集主題。,被動元件/CPU-ASIC/AI Server,國巨/信昌電/GUC/世芯-KY/聯發科/AMD,追蹤被動元件交期、漲價函、族群擴散。,若當日有社群貼文需另補。
2026-05-09,有新集數,EP660,市場進入高位階；NVIDIA供應鏈局部殺盤；成熟製程與第二梯隊輪動。,NVIDIA供應鏈/成熟製程/被動元件/資金槓桿,NVIDIA/瑞昱/聯詠/聯電/世界先進/環球晶,資金往成熟製程與第二梯隊尋找相對安全標的；被動元件擴散。,位階高時利空易被放大；故事不嚴重也可能因估值高而減碼。
2026-05-10,無新集數,EP660延續,無新集數；延續追蹤前一集主題。,NVIDIA供應鏈/成熟製程/被動元件/資金槓桿,NVIDIA/瑞昱/聯詠/聯電/世界先進/環球晶,追蹤高位階族群是否汰弱留強。,若當日有社群貼文需另補。
